channel_id,channel_name,start_date,videos,views,subscribers
UCu1FJLH2dp7dwKoCCGFkaMg,SPORT BILD,2014-04-10T11:25:22Z,8967.0,270135962.0,814000.0
UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,2020-06-26T17:51:20.684238Z,6384.0,1545164679.0,1570000.0
UCZbNi5DqBvaOZygMl8HfjDQ,Sports Today,2020-09-19T12:03:47.043053Z,13336.0,129998649.0,263000.0
UC4SERffAlpCocARSI_BH3CA,UW Athletics,2013-03-15T19:38:46Z,3609.0,5010836.0,12500.0
UCdsoOlQl8E8p4sajQtY2UIw,NBC Sports Boston,2013-11-08T16:37:13Z,4630.0,38068947.0,57600.0
UCWw6scNyopJ0yjMu1SyOEyw,talkSPORT,2009-05-01T11:38:01Z,18050.0,1062222686.0,1450000.0
UC8C8WuWSsFjWFaTHcUQeQxA,VICE Sports,2005-12-27T23:53:33Z,553.0,276632815.0,1090000.0
UCmqfX0S3x0I3uwLkPdpX03w,Star Sports,2006-12-11T15:14:17Z,18330.0,2701624691.0,7210000.0
UCMGMiLSz3jiQiw-hRpRsSbA,Sports Dissected by COISKI,2016-05-12T22:45:26Z,406.0,76611108.0,345000.0
UC9pkqFpbiwpZ6vXwaaUV_FQ,Chat Sports,2014-12-16T21:02:46Z,8772.0,113424546.0,364000.0
UCBzDz6beXDfMtfxQdEutD_w,ITV Sport,2016-06-02T12:15:40Z,1069.0,155741890.0,293000.0
UC8sYt4QHV6ZgOyL57ATacwQ,WoodwardSports,2020-08-06T15:00:38.762193Z,7571.0,33560724.0,62500.0
UCZqQ3O9jIPw3b7WYw_vyn4g,Chatterbox Sports | Cincinnati Sports Talk & more,2019-07-14T14:27:04Z,1437.0,1898880.0,11700.0
UCPGJ6U6tzIKHubr5zFWFZLw,BYU Sports Nation,2009-03-05T16:37:44Z,10894.0,18285762.0,24100.0
UC3eNlJKuJzJfNQzLphGZW7w,Stanford Athletics,2007-12-19T16:37:50Z,2420.0,8876448.0,43700.0
UCGW17XIEU0AM-F8mwzhBYdw,vIQtory Sports,2016-12-05T14:53:27Z,127.0,3287649.0,24200.0
UCZjpA3YBPXvJv3pg4SPEjfw,Win Sports,2012-11-06T16:52:52Z,22781.0,573717519.0,1360000.0
UCZ7wY7MRDSygp63HIEfdQZA,Sky Sports Football,2022-08-01T09:58:32.940934Z,1948.0,391177035.0,409000.0
UCNxbq2vWbmXQeyZPGYTnT6Q,Channel 4 Sport,2012-03-07T17:28:06Z,1513.0,67748322.0,128000.0
UCPZOI6QrL73FQXoZEqgvOFA,TNT Sports México,2021-04-22T21:33:26.226453Z,4352.0,266044067.0,523000.0
UCHAnaPgALxTRs9RF8lxZI0w,Sports Spectrum,2010-07-14T15:34:06Z,1499.0,2194603.0,13200.0
UCyUaqZO8qOOdelVDPjJECLA,Hurrdat Sports,2022-05-25T16:22:32.235017Z,2243.0,3857105.0,7660.0
UCjWgUFeyDbeQ3Q_eVCup_7Q,National Academy of Sports Medicine (NASM),2008-01-24T00:08:52Z,1809.0,19705071.0,79400.0
UCTIwFB4ciFi5ZCIu-VlwaOg,Little Sports,2019-10-03T14:47:23Z,1020.0,174427522.0,955000.0
