Date,Open,High,Low,Close,Adj Close,Volume,Daily Change,Percent Change
1999-01-22,0.4375,0.488281,0.388021,0.410156,0.376709,271468800,-0.02734399999999998,-6.250057142857138
1999-01-25,0.442708,0.458333,0.410156,0.453125,0.416174,51048000,0.01041700000000001,2.353018242272561
1999-01-26,0.458333,0.467448,0.411458,0.417969,0.383885,34320000,-0.04036400000000001,-8.806697313961685
1999-01-27,0.419271,0.429688,0.395833,0.416667,0.38269,24436800,-0.002603999999999995,-0.6210780139814094
1999-01-28,0.416667,0.419271,0.41276,0.415365,0.381494,22752000,-0.0013020000000000254,-0.31247975001620604
1999-01-29,0.415365,0.416667,0.395833,0.395833,0.363554,24403200,-0.019531999999999994,-4.702370204518916
1999-02-01,0.395833,0.40625,0.395833,0.403646,0.37073,15470400,0.007813000000000014,1.9738121884734254
1999-02-02,0.395833,0.40625,0.360677,0.372396,0.342029,26409600,-0.023436999999999986,-5.920931301836882
1999-02-03,0.367188,0.385417,0.364583,0.380208,0.349204,7512000,0.013019999999999976,3.5458675120101897
1999-02-04,0.385417,0.411458,0.380208,0.401042,0.368339,18192000,0.015625,4.054050547848174
1999-02-05,0.407552,0.416667,0.397135,0.41276,0.379101,13684800,0.00520799999999999,1.2778737437185905
1999-02-08,0.415365,0.416667,0.398438,0.398438,0.365947,15408000,-0.01692699999999997,-4.0752109590360215
1999-02-09,0.40625,0.408854,0.377604,0.382813,0.351596,8697600,-0.023436999999999986,-5.7691076923076885
1999-02-10,0.382813,0.393229,0.372396,0.378906,0.348008,14822400,-0.003906999999999994,-1.0206027486004898
1999-02-11,0.380208,0.427083,0.380208,0.411458,0.377905,13224000,0.03125,8.219185288052856
1999-02-12,0.416667,0.4375,0.416667,0.434896,0.399432,10972800,0.018228999999999995,4.3749565000347985
1999-02-16,0.442708,0.460938,0.393229,0.4375,0.401824,21100800,-0.00520799999999999,-1.1763961798747686
1999-02-17,0.427083,0.432292,0.40625,0.414063,0.380298,6772800,-0.013019999999999976,-3.0485877452392103
1999-02-18,0.427083,0.432292,0.408854,0.420573,0.386277,7070400,-0.006510000000000016,-1.5242938726196116
1999-02-19,0.416667,0.442708,0.411458,0.434896,0.399432,7536000,0.018228999999999995,4.3749565000347985
1999-02-22,0.442708,0.447917,0.414063,0.4375,0.401824,20524800,-0.00520799999999999,-1.1763961798747686
1999-02-23,0.447917,0.467448,0.421875,0.458333,0.420958,13809600,0.01041599999999998,2.3254308275863567
1999-02-24,0.526042,0.546875,0.483073,0.494792,0.454444,61276800,-0.03125,-5.940590295071496
1999-02-25,0.515625,0.53125,0.471354,0.479167,0.440093,14913600,-0.03645799999999999,-7.070642424242422
1999-02-26,0.484375,0.5,0.453125,0.457031,0.419762,17260800,-0.02734399999999998,-5.645212903225802
1999-03-01,0.46875,0.479167,0.4375,0.459635,0.422154,9216000,-0.009114999999999984,-1.9445333333333301
1999-03-02,0.458333,0.460938,0.447917,0.455729,0.418566,5524800,-0.002603999999999995,-0.5681458677424482
1999-03-03,0.458333,0.458333,0.421875,0.424479,0.389864,6139200,-0.033853999999999995,-7.386332644605559
1999-03-04,0.445313,0.447917,0.411458,0.415365,0.381494,5736000,-0.02994800000000003,-6.725157361226828
1999-03-05,0.419271,0.440104,0.419271,0.438802,0.403019,7876800,0.01953100000000002,4.658323614082543
1999-03-08,0.427083,0.458333,0.419271,0.445313,0.409,7588800,0.018230000000000024,4.268491136383331
1999-03-09,0.44401,0.466146,0.44401,0.459635,0.422154,14318400,0.015625,3.5190648859259923
1999-03-10,0.466146,0.466146,0.445313,0.451823,0.414979,23534400,-0.01432300000000003,-3.0726424768205733
1999-03-11,0.44401,0.451823,0.432292,0.432292,0.39704,5428800,-0.011718000000000006,-2.6391297493299715
1999-03-12,0.434896,0.434896,0.416667,0.424479,0.389864,9076800,-0.01041700000000001,-2.3952853095912605
1999-03-15,0.434896,0.447917,0.432292,0.442708,0.406607,10881600,0.007811999999999986,1.7962915271697109
1999-03-16,0.445313,0.450521,0.424479,0.428385,0.393452,7915200,-0.016928,-3.801371170390264
1999-03-17,0.432292,0.440104,0.420573,0.43099,0.395845,5136000,-0.0013020000000000254,-0.30118530992940545
1999-03-18,0.432292,0.442708,0.421875,0.436198,0.400628,4632000,0.003905999999999965,0.9035559297881907
